cohort,id,task_id,M_P,M_T,M_X,M_F,n_records
OpenCUA-7B,OpenCUA-7B_rep0,Amazon--32,403.0,41,10,0,1172
OpenCUA-7B,OpenCUA-7B_rep1,Amazon--32,323.0,54,4,0,998
OpenCUA-7B,OpenCUA-7B_rep0,Apple--29,289.0,2,2,0,288
OpenCUA-7B,OpenCUA-7B_rep1,Apple--29,582.0,2,2,0,580
OpenCUA-7B,OpenCUA-7B_rep1,ArXiv--17,0.0,0,0,0,11
OpenCUA-7B,OpenCUA-7B_rep0,ArXiv--17,8.0,3,0,0,186
OpenCUA-7B,OpenCUA-7B_rep1,Booking--3,549.0,52,3,4,1181
OpenCUA-7B,OpenCUA-7B_rep0,Booking--3,2876.0,80,43,14,6292
OpenCUA-7B,OpenCUA-7B_rep0,Coursera--21,4196.0,40,35,0,6155
OpenCUA-7B,OpenCUA-7B_rep1,Coursera--21,3849.0,40,37,0,5713
OpenCUA-7B,OpenCUA-7B_rep0,GitHub--35,14.0,2,0,0,155
OpenCUA-7B,OpenCUA-7B_rep1,GitHub--35,12.0,2,0,0,153
OpenCUA-7B,OpenCUA-7B_rep0,Google Flights--34,20.0,10,0,0,62
OpenCUA-7B,OpenCUA-7B_rep1,Google Flights--34,20.0,10,0,0,62
OpenCUA-7B,OpenCUA-7B_rep0,Google Map--35,74.0,3,0,0,84
OpenCUA-7B,OpenCUA-7B_rep1,Google Map--35,231.0,11,0,44,294
OpenCUA-7B,OpenCUA-7B_rep0,Google Search--28,42.0,4,0,0,48
OpenCUA-7B,OpenCUA-7B_rep1,Google Search--28,41.0,4,0,0,47
OpenCUA-7B,OpenCUA-7B_rep0,Huggingface--14,17.0,8,1,3,105
OpenCUA-7B,OpenCUA-7B_rep1,Huggingface--14,15.0,8,1,3,105
GUI-Owl-8B,GUI-Owl-8B_rep0,Amazon--32,190.0,47,1,0,543
GUI-Owl-8B,GUI-Owl-8B_rep1,Amazon--32,178.0,45,1,0,523
GUI-Owl-8B,GUI-Owl-8B_rep0,Apple--29,56.0,2,1,0,56
GUI-Owl-8B,GUI-Owl-8B_rep1,Apple--29,51.0,2,1,0,51
GUI-Owl-8B,GUI-Owl-8B_rep0,ArXiv--17,0.0,0,0,0,11
GUI-Owl-8B,GUI-Owl-8B_rep1,ArXiv--17,0.0,0,0,0,11
GUI-Owl-8B,GUI-Owl-8B_rep0,Booking--3,152.0,37,1,4,382
GUI-Owl-8B,GUI-Owl-8B_rep1,Booking--3,154.0,39,1,4,396
GUI-Owl-8B,GUI-Owl-8B_rep0,Coursera--21,139.0,28,1,0,275
GUI-Owl-8B,GUI-Owl-8B_rep1,Coursera--21,136.0,29,1,0,274
GUI-Owl-8B,GUI-Owl-8B_rep0,GitHub--35,14.0,2,0,0,155
GUI-Owl-8B,GUI-Owl-8B_rep1,GitHub--35,14.0,2,0,0,155
GUI-Owl-8B,GUI-Owl-8B_rep0,Google Flights--34,20.0,10,0,0,62
GUI-Owl-8B,GUI-Owl-8B_rep1,Google Flights--34,20.0,10,0,0,62
GUI-Owl-8B,GUI-Owl-8B_rep0,Google Map--35,255.0,11,0,47,322
GUI-Owl-8B,GUI-Owl-8B_rep1,Google Map--35,211.0,11,0,47,276
GUI-Owl-8B,GUI-Owl-8B_rep0,Google Search--28,39.0,4,0,0,44
GUI-Owl-8B,GUI-Owl-8B_rep1,Google Search--28,43.0,4,0,0,48
GUI-Owl-8B,GUI-Owl-8B_rep0,Huggingface--14,15.0,8,1,3,107
GUI-Owl-8B,GUI-Owl-8B_rep1,Huggingface--14,17.0,8,1,3,107
