agent,task,condition,rep,target_etld1,records,unique_hosts,third_party_hosts,rq3_blocks_search,rq3_blocks_offdomain,rq3_blocks_cmp,task_success,duration_seconds,return_code
browser-use,BBC_News--9,C0,1,bbc.com,880,35,35,0,0,0,success,58.1,0
browser-use,Booking--0,C0,1,booking.com,443,35,35,0,0,0,success,29.3,0
browser-use,Booking--1,C0,1,booking.com,374,48,43,0,0,0,success,58.2,0
browser-use,Booking--10,C0,1,booking.com,381,46,41,0,0,0,success,57.3,0
browser-use,Booking--11,C0,1,booking.com,311,40,35,0,0,0,success,43.2,0
browser-use,Booking--12,C0,1,booking.com,759,44,37,0,0,0,success,61.9,0
browser-use,Booking--13,C0,1,booking.com,553,46,40,0,0,0,success,50.1,0
browser-use,Booking--14,C0,1,booking.com,320,39,34,0,0,0,success,43.2,0
browser-use,Booking--15,C0,1,booking.com,1132,57,50,0,0,0,success,62.7,0
browser-use,Booking--16,C0,1,booking.com,588,51,45,0,0,0,success,68.0,0
browser-use,Booking--17,C0,1,booking.com,308,40,35,0,0,0,success,56.4,0
browser-use,Booking--18,C0,1,booking.com,586,50,44,0,0,0,success,50.1,0
browser-use,Booking--19,C0,1,booking.com,320,40,35,0,0,0,success,41.3,0
browser-use,Booking--2,C0,1,booking.com,577,42,36,0,0,0,success,55.5,0
browser-use,Booking--20,C0,1,booking.com,309,40,35,0,0,0,success,43.7,0
browser-use,Booking--21,C0,1,booking.com,305,39,34,0,0,0,success,38.9,0
browser-use,Booking--22,C0,1,booking.com,313,40,35,0,0,0,success,50.6,0
browser-use,Booking--23,C0,1,booking.com,374,45,40,0,0,0,success,60.2,0
browser-use,Booking--24,C0,1,booking.com,427,47,42,0,0,0,success,62.7,0
browser-use,Booking--25,C0,1,booking.com,347,42,37,0,0,0,success,44.0,0
browser-use,Booking--26,C0,1,booking.com,638,46,39,0,0,0,success,41.2,0
browser-use,Booking--27,C0,1,booking.com,545,49,43,0,0,0,success,44.9,0
browser-use,Booking--28,C0,1,booking.com,604,55,49,0,0,0,success,52.1,0
browser-use,Booking--29,C0,1,booking.com,807,49,42,0,0,0,success,52.3,0
browser-use,Booking--3,C0,1,booking.com,373,44,39,0,0,0,success,61.1,0
browser-use,Booking--30,C0,1,booking.com,293,40,35,0,0,0,success,45.4,0
browser-use,Booking--31,C0,1,booking.com,1013,52,45,0,0,0,success,52.0,0
browser-use,Booking--32,C0,1,booking.com,753,50,43,0,0,0,success,55.5,0
browser-use,Booking--33,C0,1,booking.com,567,45,38,0,0,0,success,41.1,0
browser-use,Booking--34,C0,1,booking.com,320,44,39,0,0,0,success,52.1,0
browser-use,Booking--35,C0,1,booking.com,654,47,40,0,0,0,success,40.8,0
browser-use,Booking--36,C0,1,booking.com,604,55,49,0,0,0,success,68.8,0
browser-use,Booking--37,C0,1,booking.com,650,20,20,0,0,0,success,75.7,0
browser-use,Booking--38,C0,1,booking.com,309,40,35,0,0,0,success,43.3,0
browser-use,Booking--39,C0,1,booking.com,511,47,41,0,0,0,success,49.0,0
browser-use,Booking--4,C0,1,booking.com,385,44,39,0,0,0,success,58.2,0
browser-use,Booking--40,C0,1,booking.com,310,33,33,0,0,0,success,52.5,0
browser-use,Booking--41,C0,1,booking.com,277,40,35,0,0,0,success,26.3,0
