agent,task,condition,n_reps,success_rate,dominant_status,records_median,records_ci_lo,records_ci_hi,unique_hosts_median,unique_hosts_ci_lo,unique_hosts_ci_hi,third_party_hosts_median,third_party_hosts_ci_lo,third_party_hosts_ci_hi,rq3_blocks_search_median,rq3_blocks_search_ci_lo,rq3_blocks_search_ci_hi,rq3_blocks_offdomain_median,rq3_blocks_offdomain_ci_lo,rq3_blocks_offdomain_ci_hi,rq3_blocks_cmp_median,rq3_blocks_cmp_ci_lo,rq3_blocks_cmp_ci_hi,duration_seconds_median,duration_seconds_ci_lo,duration_seconds_ci_hi
fara-7b,Google_Search--28,C5,1,1.0,success,385,385,385,14,14,14,11,11,11,0,0,0,0,0,0,0,0,0,53.7,53.7,53.7
fara-7b,Google_Search--28,C6,1,0.0,agent_error,1565,1565,1565,301,301,301,297,297,297,1,1,1,0,0,0,1,1,1,101.9,101.9,101.9
fara-7b,Google_Search--28,C7,3,0.3333333333333333,hit_max_rounds,109,91,152,7,7,7,4,4,4,0,0,0,9,3,12,0,0,0,93.0,35.0,93.9
fara-7b,Google_Search--28,C8,3,0.0,hit_max_rounds,122,75,168,5,5,5,2,2,2,2,1,3,0,0,0,0,0,0,90.3,68.4,101.2
fara-7b,Huggingface--14,C0,1,1.0,success,128,128,128,10,10,10,8,8,8,0,0,0,0,0,0,0,0,0,23.9,23.9,23.9
fara-7b,Huggingface--14,C1,1,1.0,success,128,128,128,10,10,10,8,8,8,0,0,0,0,0,0,0,0,0,23.3,23.3,23.3
fara-7b,Huggingface--14,C2,1,1.0,success,120,120,120,7,7,7,5,5,5,0,0,0,2,2,2,0,0,0,23.1,23.1,23.1
fara-7b,Huggingface--14,C3,1,1.0,success,120,120,120,7,7,7,5,5,5,0,0,0,2,2,2,0,0,0,23.4,23.4,23.4
fara-7b,Huggingface--14,C4,1,1.0,success,128,128,128,10,10,10,8,8,8,0,0,0,0,0,0,0,0,0,23.1,23.1,23.1
fara-7b,Huggingface--14,C5,1,1.0,success,128,128,128,10,10,10,8,8,8,0,0,0,0,0,0,0,0,0,23.2,23.2,23.2
fara-7b,Huggingface--14,C6,1,1.0,success,129,129,129,10,10,10,8,8,8,0,0,0,0,0,0,0,0,0,25.1,25.1,25.1
fara-7b,Huggingface--14,C7,1,1.0,success,120,120,120,7,7,7,5,5,5,0,0,0,2,2,2,0,0,0,23.1,23.1,23.1
fara-7b,Huggingface--14,C8,1,1.0,success,121,121,121,7,7,7,5,5,5,0,0,0,2,2,2,0,0,0,23.2,23.2,23.2
